Time,Source,Source Port,Destination,Destination Port,Protocol,Length,repeats,Event,Seq,Ack,Win,Len,MSS
0.01,DOMAIN_IP,,CAMERA_IP,,TCP,54,223,TCP DOM Duplicate ACK,1804,237983,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,222,TCP DOM Duplicate ACK,1804,237983,65535,0,
22.02,CAMERA_IP,,DOMAIN_IP,,TCP,1467,4,TCP PSH Retransmission,172985,1804,33580,1413,
1.99,CAMERA_IP,,DOMAIN_IP,,TCP,1467,12,TCP PSH Retransmission,236570,1804,33580,1413,
903.14,CAMERA_IP,,DOMAIN_IP,,TLSv1.2,1467,3,TLS Uncaptured,,,,,
0.03,CAMERA_IP,,DOMAIN_IP,,TCP,1467,98,TCP CAM PSH ACK,293090,1804,33580,1413,
2.85,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP unseen segment,1804,302981,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,15,TCP DOM Duplicate ACK,1804,302981,65535,0,
0.05,DOMAIN_IP,,CAMERA_IP,,TCP,60,14,TCP DOM Duplicate ACK,1804,302981,65535,0,
1.28,CAMERA_IP,,DOMAIN_IP,,TCP,1467,4852,TCP PSH Retransmission,293090,1804,33580,1413,
2.09,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP unseen segment,1804,304394,65535,0,
0.01,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,304394,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP unseen segment,1804,305807,65535,0,
0.01,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM Duplicate ACK,1804,305807,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP unseen segment,1804,307220,65535,0,
0.01,DOMAIN_IP,,CAMERA_IP,,TCP,54,3,TCP DOM Duplicate ACK,1804,307220,65535,0,
0.03,DOMAIN_IP,,CAMERA_IP,,TCP,60,3,TCP DOM Duplicate ACK,1804,307220,65535,0,
1.06,CAMERA_IP,,DOMAIN_IP,,TCP,1467,7,TCP CAM PSH ACK,308633,1804,33580,1413,
