Time,Source,Source Port,Destination,Destination Port,Protocol,Length,repeats,Event,Seq,Ack,Win,Len,MSS
0.76,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11523,TCP PSH Retransmission,158855,1804,33580,1413,
6.92,CAMERA_IP,,DOMAIN_IP,,TCP,1467,2696,TCP PSH Retransmission,160268,1804,33580,1413,
5.8,CAMERA_IP,,DOMAIN_IP,,TCP,1467,252,TCP PSH Retransmission,96683,1804,33580,1413,
359.23,CAMERA_IP,,DOMAIN_IP,,TCP,60,6,TCP CAM Duplicate ACK,161681,1804,33580,0,
2.12,CAMERA_IP,,DOMAIN_IP,,TCP,54,6,TCP CAM Duplicate ACK,161681,1804,33580,0,
29.63,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,163094,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,164507,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,165920,1804,33580,1413,
0.2,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,167333,1804,33580,1413,
0.2,CAMERA_IP,,DOMAIN_IP,,TCP,1467,7,TCP CAM PSH ACK,168746,1804,33580,1413,
0.19,CAMERA_IP,,DOMAIN_IP,,TCP,1467,3,TCP CAM PSH ACK,170159,1804,33580,1413,
3.2,CAMERA_IP,,DOMAIN_IP,,TCP,1467,11,TCP CAM PSH ACK,171572,1804,33580,1413,
6.87,CAMERA_IP,,DOMAIN_IP,,TCP,60,186,TCP CAM ACK,161681,1804,33580,0,
0.02,CAMERA_IP,,DOMAIN_IP,,TCP,54,186,TCP CAM ACK,161681,1804,33580,0,
25.18,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,163094,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,164507,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,165920,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,167333,65535,0,
0.13,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,168746,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,170159,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,60,1,TCP DOM ACK,1804,171572,65535,0,
0.99,DOMAIN_IP,,CAMERA_IP,,TCP,60,18,TCP DOM Duplicate ACK,1804,171572,65535,0,
0.3,DOMAIN_IP,,CAMERA_IP,,TCP,60,3,TCP DOM ACK,1804,172985,65535,0,
0.14,DOMAIN_IP,,CAMERA_IP,,TCP,60,5,TCP DOM Duplicate ACK,1804,172985,65535,0,
0.45,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM ACK,1804,161681,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,54,7,TCP DOM Duplicate ACK,1804,161681,65535,0,
0.02,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM ACK,1804,163094,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM ACK,1804,164507,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM ACK,1804,165920,65535,0,
0.18,DOMAIN_IP,,CAMERA_IP,,TCP,60,10,TCP DOM Duplicate ACK,1804,172985,65535,0,
1.0,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM ACK,1804,167333,65535,0,
0.01,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM ACK,1804,168746,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM ACK,1804,170159,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,54,2,TCP DOM ACK,1804,171572,65535,0,
0.29,DOMAIN_IP,,CAMERA_IP,,TCP,60,5,TCP DOM Duplicate ACK,1804,172985,65535,0,
1.03,DOMAIN_IP,,CAMERA_IP,,TCP,54,17,TCP DOM Duplicate ACK,1804,171572,65535,0,
0.2,DOMAIN_IP,,CAMERA_IP,,TCP,54,1,TCP DOM ACK,1804,172985,65535,0,
0.0,DOMAIN_IP,,CAMERA_IP,,TCP,54,440,TCP DOM Duplicate ACK,1804,172985,65535,0,
0.9,DOMAIN_IP,,CAMERA_IP,,TCP,60,418,TCP DOM Duplicate ACK,1804,172985,65535,0,
5.09,CAMERA_IP,,DOMAIN_IP,,TCP,1467,24,TCP PSH Retransmission,168746,1804,33580,1413,
5.3,CAMERA_IP,,DOMAIN_IP,,TCP,1467,16,TCP PSH Retransmission,171572,1804,33580,1413,
