Time,Source,Source Port,Destination,Destination Port,Protocol,Length,repeats,Event,Seq,Ack,Win,Len,MSS
0.9,DOMAIN_IP,DOM_PORT,CAMERA_IP,CAM_TO_DOM_PORT,TCP,60,418,TCP_DOM_Duplicate_ACK,1804,172985,65535,0,
5.09,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,24,TCP_PSH_Retransmission,168746,1804,33580,1413,
5.3,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,16,TCP_PSH_Retransmission,171572,1804,33580,1413,
10.53,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,12,TCP_PSH_Retransmission,161681,1804,33580,1413,
0.15,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,60,24,TCP_CAM_Duplicate_ACK,172985,1804,33580,0,
0.02,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,54,24,TCP_CAM_Duplicate_ACK,172985,1804,33580,0,
82.73,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,174398,1804,33580,1413,
0.2,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,175811,1804,33580,1413,
9.29,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,177224,1804,33580,1413,
10.78,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,178637,1804,33580,1413,
0.22,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,180050,1804,33580,1413,
0.18,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,181463,1804,33580,1413,
0.21,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,182876,1804,33580,1413,
0.17,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,184289,1804,33580,1413,
0.2,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,185702,1804,33580,1413,
0.19,CAMERA_IP,CAM_TO_DOM_PORT,DOMAIN_IP,DOM_PORT,TCP,1467,3,TCP_CAM_PSH_ACK,187115,1804,33580,1413,
